ID,Majority protein IDs,Gene_name_canonical,Nov27_clusters
1160,Q9NWW5;A0A024R601;A0A0S2Z5G3;H3BUT1;A0A1B0GUD2;Q8NCG1;H3BTY4;A0A0S2Z5D0;H3BUV4,CLN6,ER
1161,Q96KA5,CLPTM1L,ER
1162,Q8N129;A0A0J9YYJ0,CNPY4,ER
1163,P21964;A0A140VJG8;A0A7I2V370;B8XPJ8;B8XPJ7;E7EMS6;H7BZ45;A0A7I2V3G7;E7EUU8,COMT,ER
1164,B2RAQ8,CPT1A,ER
1165,B3KME2;O75718;B3KX16;Q8NB01;B3KS71;C9JP16;B4DPA3,CRTAP,ER
1166,A0A024R4X0;P00387;B1AHF3,CYB5R3,ER
1167,A0A024R8W9;Q9BQA9;J3QRG5;J3KSJ5;J3QKS6;J3KTF4;J3QRZ2;J3QLB7,CYBC1,ER
1168,A0A024R9G3;Q9BUN8;B4E1G1;E5RGY0,DERL1,ER
1169,A1L4Q0;P52429;Q59FU4;I3L112,DGKE,ER
1170,A0A0C4DGQ8;Q6IAN0;J3KRS1,DHRS7B,ER
1171,A0A0S2Z4Y5;Q5QPK2;O60762;H0Y368;Q5QPJ9,DPM1,ER
1172,A0A1B0GW05;Q2PZI1,DPY19L1,ER
1173,A0A024R3I8;O14681;E9PM05;E9PS58;E9PK61;E9PL33;Q59EJ1,EI24,ER
1174,M0R2A0;Q5UCC4,EMC10,ER
1175,A0A024R9K7;Q9NPA0;H0YDX2;H0YDT8,EMC7,ER
1176,P07099;R4SBI6,EPHX1,ER
1177,Q96HE7,ERO1A,ER
1178,O95864,FADS2,ER
1179,Q53XJ5;A0A384NLA0;A0A494C1N0;P26885;F5H0N4,FKBP2,ER
1180,Q9Y680,FKBP7,ER
1181,O43681,GET3,ER
1182,A0A024R1Y7;Q8N2G8;B3KVB0;K7ESN3,GHDC,ER
1183,Q86UL3;Q8NDD3,GPAT4,ER
1184,A0A024R913;P56937,HSD17B7,ER
1185,Q9BUP3;E9PI87,HTATIP2,ER
1186,Q92551;A0A024R2X2,IP6K1,ER
1187,P07942;A0A7I2V4J9;G3XAI2;A0A7I2V5X5;A0A7I2V2T9;A0A7I2V3I5;Q8TAS6;A0A7I2V682;A0A7I2V3J7,LAMB1,ER
1188,A0A024RCZ1;Q8NC56;A0A220T1R7,LEMD2,ER
1189,A8K4S2;Q8WVP7;Q8NDP7;B7Z633,LMBR1,ER
1190,Q8NF37;D3DTC2;A0A0G2JQ62,LPCAT1,ER
1191,Q9UNW1;B2R7D2;B4E394,MINPP1,ER
1192,Q9UJG1;B4DRA6;B4DR28,MOSPD1,ER
1193,Q8NHP6;R4GMN1,MOSPD2,ER
1194,Q5SNW7;P42898;A0A286YFD0;Q59GJ6;A0A286YF17;L7P8G6,MTHFR,ER
1195,Q9UMX5,NENF,ER
1196,A0A024R8R4;Q8TAT6;B4DG89,NPLOC4,ER
1197,Q6PK18;A0A024R8X4;J3QRG1,OGFOD3,ER
1198,Q8IVL6,P3H3,ER
1199,O15460,P4HA2,ER
1200,Q8N5Y8,PARP16,ER
1201,H7BZJ3,PDIA3,ER
1202,O15173;U3KQM0,PGRMC2,ER
1203,P37287;A0A2K4ZA02;A0A2K4Z9P9;A0A2K4Z9Z9;A0A2K4Z9R1;A0A2K4Z9Q9;A0A2K4Z9P8;A0A2K4Z9X1;A0A2K4Z9V6;A0A2K4Z9X3;A0A2K4Z9W7;A0A2K4Z9Y1;A0A2K4Z9V8;A0A2K4Z9W5;A0A2K4Z9T5;A0A2K4Z9T7;A0A2K4Z9X9;A0A2K4Z9T1;A0A2K4Z9S0;A0A2K4Z9W1;A0A2K4Z9W8;A0A2K4Z9T8;A0A2K4Z9S8;A0A2K4Z9Z2;A0A2K4Z9U3;B2RCE0;A0A2K4Z9W2;A0A2K4Z9Z6;A0A2K4Z9X8;A0A2K4Z9Z7;A0A2K4Z9S5;A0A2K4Z9R8;A0A2K4Z9Q7;A0A2K4Z9X6;A0A2K4ZA03;A0A2K4Z9Z0;A0A2K4ZA04;A0A2K4ZA01;A0A2K4Z9V9;A0A2K4Z9X7;A0A2K4ZA07;A0A2K4ZA05;A0A2K4ZA29;A0A2K4Z9Y7;A0A2K4Z9R6;A0A2K4Z9Y3;A0A2K4Z9V5;B4E275;A0A2K4Z9Y9;A0A2K4Z9Y4;A0A2K4ZA10;A0A2K4Z9U9;A0A2K4Z9U2;A0A2K4Z9X4;A0A2K4Z9Q2;A0A2K4Z9V4;A0A2K4Z9P5;A0A1B0GU19,PIGA,ER
1204,Q14442;H0YKZ3,PIGH,ER
1205,Q9H490;B4DXB6,PIGU,ER
1206,O60568;B3KQQ3,PLOD3,ER
1207,Q9H488;B4DZS3,POFUT1,ER
1208,Q8NBL1;Q9NRV2;H7C5H0;B4DJ97,POGLUT1,ER
1209,Q6UW63,POGLUT2,ER
1210,A0A024R3C4;Q7Z4H8;B2R8W4,POGLUT3,ER
1211,Q9H5K3;A0A6Q8PFH3;A0A6Q8PFG8,POMK,ER
1212,A0A0C4DGP4,PRKCSH,ER
1213,D2SNZ4;Q96HE9,PRR11,mitochondrion
1214,A8KAH1;P48651;Q9BSY0,PTDSS1,ER
1215,Q53RX3;Q9HBH5,RDH14,ER
1216,Q6NUQ1;B3KP18,RINT1,ER
1217,A0A384NPM7;Q8NBX0,SCCPDH,ER
1218,Q6IAM7;A0A024RC78;P67812;H0YNG3;Q7Z4Z6;H0YNX5;H0YKT4,SEC11A,ER
1219,Q9UBV2,SEL1L,ER
1220,A0A087WVA1;P62341;Q6IAK0;B4DTQ5,SELENOT,ER
1221,Q14534;E7EVQ6;Q5HYI4;B4DX34,SQLE,ER
1222,A0A3B3IRT8;P43307;C9J3L8;C9J5W0;B2R6N9;E9PAL7;C9IZQ1,SSR1,ER
1223,Q8NBK3;E9PF05;B4DHS1;F5GXA0,SUMF1,ER
1224,A0A0C4DG40,SYNE1,ER
1225,A0A7P0TBI8;A0A7P0T8Q3;Q96BZ9;A0A7P0T865;A0A7P0T9R2;A0A7P0T876;A0A7P0T991;A0A7P0TAF7,TBC1D20,ER
1226,A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,TMEM120A,ER
1227,B7Z3K1;Q5BJH2,TMEM128,ER
1228,A0A024R118;Q9H8H3;B4DDW1;H0YI09;F8VQX6,TMT1A,ER
1229,Q71RG4;K7EKW3;E7ESS3;B4DFQ1,TMUB2,ER
1230,Q9H1E5,TMX4,ER
1231,J3KN66,TOR1AIP1,ER
1232,A8K2S7;A0A024RE02;Q8NBM4;X6R5E5;B7Z6T7;B3KW74,UBAC2,ER
1233,B1AMF0;A0A024R075;Q8N2K1;D6RB84,UBE2J2,ER
1234,Q541A5;Q92890;B4E3I3;B7Z9N3,ufd1,ER
1235,Q9NUQ7;D6RGX2;B3KRI4,UFSP2,ER
1236,Q9NYU1,UGGT2,ER
1237,Q8NFV4;D3DXF2,ABHD11,mitochondrion
1238,Q96CM8;E9PF16;B4DTB9,ACSF2,mitochondrion
1239,Q4G176,ACSF3,mitochondrion
1240,Q6NUM7;A0A024R640;Q9NUQ2,AGPAT5,mitochondrion
1241,Q9UIJ7;Q7Z4Y4;B3KWD9,AK3,mitochondrion
1242,Q53HP5;Q59G10;O75891;Q53H87;A0A0S2Z527,ALDH1L1,mitochondrion
1243,B4DTU7;A0A494C1M4;Q3SY69,ALDH1L2,mitochondrion
1244,P30038;A0A024RAC7,ALDH4A1,mitochondrion
1245,A8K7S8;A0A0S2Z391;A0A0S2Z319;Q16611;B4E0L2;Q8NFF3;A0A0A0MRG8;Q5HCI0;B3KRK7,BAK1,mitochondrion
1246,O15382;Q53EW7;M0QZ10;M0QXF9;B3KSI3,BCAT2,mitochondrion
1247,A0A024R445;Q9Y276;Q53EX1;A8JZZ8;Q53RT4,BCS1L,mitochondrion
1248,Q53S33,BOLA3,mitochondrion
1249,A0A024R8P4,C17orf80,mitochondrion
1250,Q96BQ5,CCDC127,mitochondrion
1251,P49454,CENPF,mitochondrion
1252,A8K337;Q86VU5;R4GNF4,COMTD1,mitochondrion
1253,Q9NZJ6,COQ3,mitochondrion
1254,Q5HYK3;B4DP72;F8VVW7,COQ5,mitochondrion
1255,Q9Y2Z9,COQ6,mitochondrion
1256,Q49A71;Q8NI45,COQ7,mitochondrion
1257,Q96D53;M0R0L2;A0A024R0Q9;A0A7I2V3G8,COQ8B,mitochondrion
1258,A0A7P0TAR1;P43155;A0A7P0T9R9;A0A7P0T9E7;H0Y4Z7;A0A7P0TBF3,CRAT,mitochondrion
1259,Q547S8;A0A2I6U1K5;Q16134;A7UNU5;A0A2I6U1Q3;B4DEQ0,ETFDH,mitochondrion
1260,A0A024RE24;Q96GK7,FAHD2A,mitochondrion
1261,Q96ND0;K7EK00,FAM210A,mitochondrion
1262,D3DPC4;Q53R41,FASTKD1,mitochondrion
1263,Q7L8L6;B4DWZ8,FASTKD5,mitochondrion
1264,O75600;A8K228,GCAT,mitochondrion
1265,A0A024RAK1;Q969S9;A0A024RAJ7;A0A6M4C975,GFM2,mitochondrion
1266,B4DPG9;B4DSV8;Q9H3K2;Q6FIA7;Q9Y6G2,GHITM,mitochondrion
1267,A0A024R6R2;Q8TD30,GPT2,mitochondrion
1268,P07203;Q7L4Q3;A0A2R8Y6B6,GPX1,mitochondrion
1269,Q8TAA5;Q8N3S0,GRPEL2,mitochondrion
1270,Q969Y2,GTPBP3,mitochondrion
1271,B1ANH0;A0A024R3U5;Q96IN2;B1ANH2;B1ANG9,GUK1,mitochondrion
1272,Q5TEC6;A0A590UJL8,H3-7,mitochondrion
1273,Q16775;B4DT01;H3BPK3;H3BPQ4;H3BQW8,HAGH,mitochondrion
1274,B2R7G6;A0A2R8Y5P7;P49590;A0A2R8Y6I1;A0A2R8Y3N3;D6RB22;B4DSY5;B4DQ67;D6RJE6,HARS2,mitochondrion
1275,A0A024R837;Q9BSH5;B3KUF6,HDHD3,mitochondrion
1276,B1AK13;P35914,HMGCL,mitochondrion
1277,Q13907,IDI1,mitochondrion
1278,Q9BUE6,ISCA1,mitochondrion
1279,P83111,LACTB,mitochondrion
1280,A0A024R811;Q53H82,LACTB2,mitochondrion
1281,Q9HD34;C9JY28;C9JRX8;F5H189,LYRM4,mitochondrion
1282,Q96GW9;B4DVV7,MARS2,mitochondrion
1283,A0A0S2Z693;Q96RQ3;E9PHF7;F5GYT8;E9PG35;G5E9X5,MCCC1,mitochondrion
1284,Q8NE86;S4R468,MCU,mitochondrion
1285,Q96AQ8;A0A384NPW7;U3KQP8,MCUR1,mitochondrion
1286,A1MAC2;Q9GZY8,MFF,mitochondrion
1287,A0A024R7J4;Q9BQ48,MRPL34,mitochondrion
1288,S4R360;J3KPP0;A0A024RBG3;S4R2Z7;Q9Y6G3,MRPL42,mitochondrion
1289,Q4U2R6,MRPL51,mitochondrion
1290,Q969Z3,MTARC2,mitochondrion
1291,Q96E29;E5RIY4;E5RIK9,MTERF3,mitochondrion
1292,Q7Z6M4;B4DFP7;C9JNJ7;B4DKD5;H7C316,MTERF4,mitochondrion
1293,A8K900;U3KQ69,MTG1,mitochondrion
1294,P46199;Q8IWH1;Q6P1N2,MTIF2,mitochondrion
1295,A0A024RDQ7;Q9H2K0,MTIF3,mitochondrion
1296,Q4G0N4;A0A024R048;B7Z8V7,NADK2,mitochondrion
1297,A0A024R9L0;Q9Y375;A0A7I2V4I7;H0YNN4;H0YL22;H0YNB7,NDUFAF1,mitochondrion
1298,Q7L592;B4DQY3;C9JS27;C9J236,NDUFAF7,mitochondrion
1299,Q7LD69;O75251;F5H5N1;B7Z1U1;A8K0V6;Q8NAS7;F5GXJ1;Q9H3K5;A0A087WXF6;A0A087WTI3;B7Z4P1;Q6ZQU6,NDUFS7,mitochondrion
1300,P56181;Q2VYF0,NDUFV3,mitochondrion
1301,Q9NPE2,NGRN,mitochondrion
1302,Q9BYT8;A8K9T8;E9PCB6;B3KU23;Q9BQD0;H0YAK4,NLN,mitochondrion
1303,A8MXV4,NUDT19,mitochondrion
1304,Q9BW91;Q8NG26;Q96KB3;D6RAW2;H7C386,NUDT9,mitochondrion
1305,Q96E52;H7BZX2,OMA1,mitochondrion
1306,A0A024R040;P55809;Q6IAV5;E9PDW2;B7Z609,OXCT1,mitochondrion
1307,Q5BKU9,OXLD1,mitochondrion
1308,Q7L3T8,PARS2,mitochondrion
1309,P05166;Q59GV0;E9PDR0;E7EX59;C9JQS9;A0A1B2JLU8;E7ETT1;E7ETT4;E7EUY3;B7Z8A8;F8WBI9,PCCB,mitochondrion
1310,A0A384MTT2;Q16822;Q6IB91;A0A0S2Z430;H0YML5,PCK2,mitochondrion
1311,B3KPZ7;A0A024R9C0;B4DYX8;Q6P1N1;Q9P0J1,PDP1,mitochondrion
1312,Q9UG56;A0A024R1K5;H0Y7P7;B4DPS3;B1AKM6,PISD,mitochondrion
1313,P54098;E5KNU5;E5KNX5;E5KNW2;A8K5G6;H0YD36;A0A1B0GTU7;A0A1B0GVT8,POLG,mitochondrion
1314,O15091,PRORP,mitochondrion
1315,Q8N4Q0;Q4G1C4,PTGR3,mitochondrion
1316,Q9H0R6;X6R772,QRSL1,mitochondrion
1317,Q5T160;H0UI22,RARS2,mitochondrion
1318,Q8IXI2;H7BXZ6,RHOT1,mitochondrion
1319,A0A024R9H2;P52758;H0YB34;H0YBX3,RIDA,mitochondrion
1320,A0A024R1L3;Q9H0J7;B0QY95;Q9NQG6,RP5-1104E15.5,mitochondrion
1321,A0A024R3K2;Q96CM3;B4DUN4,RPUSD4,mitochondrion
1322,I6L976;Q5VUM1,SDHAF4,mitochondrion
1323,O75746;B3KMV8,SLC25A12,mitochondrion
1324,A0A0S2Z514;Q6PML9;A0A024R9W8;B2R745;A0A0S2Z512;B4DSU2,SLC30A9,mitochondrion
1325,Q96BW9;A0A0G2JQ92,TAMM41,mitochondrion
1326,Q8IYQ7;Q8N9J5,THNSL1,mitochondrion
1327,Q9H061;E9PI90,TMEM126A,mitochondrion
1328,A0A024R886;O95900,TRUB2,mitochondrion
1329,A3KMH1,VWA8,mitochondrion
1330,O96019;H7C5S0,ACTL6A,nucleus
1331,B2RBM8;Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,ADNP,nucleus
1332,Q8WYP5;B3KTD2,AHCTF1,nucleus
1333,Q9UBL3;A8K6T5,ASH2L,nucleus
1334,D3DS96;Q9NRL2,BAZ1A,nucleus
1335,Q9UIG0,BAZ1B,nucleus
1336,J3QK86;F8VU39;J3KPG5;Q9UIF9,BAZ2A,nucleus
1337,Q6IBN6;P83916;J3KS05;B5MD17;K7ELA4,CBX1,nucleus
1338,A4D177;Q13185;S4R2Y4,CBX3,nucleus
1339,V9HWG0;P45973;Q6I9T7,CBX5,nucleus
1340,O14519;Q6IAV4;O75956,CDK2AP1,nucleus
1341,Q9UPV0;Q9NTH6;B4DZS2,CEP164,nucleus
1342,D6W625;Q13111,CHAF1A,nucleus
1343,A0A2U3TZM0;A0A2R8YFK9;Q14839;A0A0C4DGG9;A0A2R8Y521;A0A2R8Y212;A0A2R8Y5J0;F5GWX5;A0A2R8Y425;A0A2R8YFD8;A0A2R8YDJ9;A0A2R8YD40;A0A2R8Y8C1;A0A2R8YER1;A0A2R8Y445;A0A2R8YDW2;A0A2R8Y4X2,CHD4,nucleus
1344,Q5U0J5;Q4ZG78;Q53X93;P16220,CREB1,nucleus
1345,A0A024R5Q8;Q05D32,CTDSPL2,mitochondrion
1346,Q8WYA6;A0A087WUB9,CTNNBL1,nucleus
1347,B4DLN7;E9PHG5;C9J8K7,CYP20A1,ER
1348,A0A024QZN2;Q8WXX5,DNAJC9,nucleus
1349,Q9H147;H7C1M5;H7C1J2,DNTTIP1,nucleus
1350,Q9H9B1;A0A1B0GV09;A0A0C4DGF8,EHMT1,nucleus
1351,Q8WXI9;A0A0U1RRM1;B3KSZ4,GATAD2B,nucleus
1352,P16104;Q96QV6,H2AX,nucleus
1353,Q71UI9;P0C0S5;C9J0D1;A0A494C189,H2AZ2,nucleus
1354,Q16778,H2BC21,nucleus
1355,B2R4S9;P62807,H2BC4,nucleus
1356,B2R4R0;P62805;Q0VAS5,H4C1,nucleus
1357,Q92769;B3KUJ5,HDAC2,nucleus
1358,P17096;B4DWA0;A0A024RCT9,HMGA1,nucleus
1359,P26583;D6R9A6,HMGB2,nucleus
1360,O15347,HMGB3,nucleus
1361,Q68E01,INTS3,nucleus
1362,O95251;E7EUP3;B7Z4D9;B3KVJ2,KAT7,nucleus
1363,O60341;R4GMQ1;A8K2R3,KDM1A,nucleus
1364,O15550;A0A087X0R0;Q59HG3;A0A6Q8PFK0;B7ZKN5;A0A6Q8PHB6;F8W8R6;B7ZKN6;F5H6S1;B7ZKN1;F5H5V6;A0A6Q8PHJ0;A0A6Q8PFD0;A0A6Q8PGN0;A0A6Q8PG32;A0A6Q8PG92;B4E253;F4MHJ5;F4MHK3;H0Y6I7;Q86TD1,KDM6A,nucleus
1365,Q14807;A0A024R632;B7Z9T5;H3BRB3,KIF22,nucleus
1366,Q03164,KMT2A,nucleus
1367,P49916;K7ERZ5,LIG3,ER
1368,A0A6Q8PFJ0;A0A384MQX1;P02545;Q5I6Y5;A0A6Q8PHQ9;Q8N519;A0A6Q8PF80,LMNA,nucleus
1369,W8QEH3,LMNA,nucleus
1370,P20700;E9PBF6;A0A0D9SFE5;Q6DC98,LMNB1,nucleus
1371,Q03252,LMNB2,nucleus
1372,O75367;Q59FH0;B4DJC3,MACROH2A1,nucleus
1373,Q9P0M6;A0A024QZP6;A0A7I2V412;A0A7I2V423;Q9HA11;A0A7I2YQD6;Q5SQT3,MACROH2A2,nucleus
1374,P61244;Q8TAX8;A0A024R682;G3V5L1;Q8IYC6;Q6V3B1;G3V563;G3V2R5;B4E0K3,MAX,nucleus
1375,P49736;B7Z8Z6;B3KXZ4;H0Y8E6,MCM2,nucleus
1376,Q14676;A0A1U9XBC0;A0A1U9XBE3;A0A1U9XBE0;A0A1U9XBC1;A0A1U9XBB2;A0A1U9XBF2;A0A1U9XBD4;A0A1U9XBC2;A0A1U9XBE1;A0A1U9XBD9;A0A1U9XBC3;B4DYH4,MDC1,nucleus
1377,A0A140VKC4;P51608;E9LUH4;D3YJ43;E9LUH3;D5L9I5;D0UU70;C6KG45;D9ZNA4;A8K079;E1B2J3;D6QZ43;C6KG44;A0A075BPP5;A0A0S2Z401,MECP2,nucleus
1378,Q8IWI9,MGA,nucleus
1379,P46013,MKI67,nucleus
1380,Q99549;B3KS10,MPHOSPH8,nucleus
1381,Q13330;E7ESY4,MTA1,nucleus
1382,A0A024R534;O94776,MTA2,nucleus
1383,P10589;F1DAL8;F1DAL6;F1DAL9;F1DAL7,NR2F1,nucleus
1384,P24468;F1D8R0,NR2F2,nucleus
1385,A0A024QZW7;P49790,NUP153,nucleus
1386,A0A024R4X7;Q9UKX7;B4E2D3,NUP50,nucleus
1387,Q9UBD5;B4E014;B7Z8A5;Q6IBJ0,ORC3,nucleus
1388,Q86U86;E7EVG2;H0Y5B5,PBRM1,nucleus
1389,Q8WWQ0,PHIP,nucleus
1390,Q7Z3K3,POGZ,nucleus
1391,Q09028,RBBP4,nucleus
1392,A0A0S2Z404;Q5T081;A0A0S2Z3I4;P18754;C9JW69;C9JRH2;C9J3R0;C9JMJ4;C9JQZ4,RCC1,nucleus
1393,H3BV80;H3BMM9;H3BTC0;D3DU92;Q15287;H3BPG5,RNPS1,nucleus
1394,Q96T23;H0YER1;H0YCN2,RSF1,nucleus
1395,B7ZLQ5;P28370,SMARCA1,nucleus
1396,A7E2E1;Q9HBD4;P51532;A0A2R8YGG3;A0A2R8YG32;A0A2R8Y7F3,SMARCA4,nucleus
1397,Q12824;A0A0G2JRV3;C9JTA6;A0A0G2JSE9,SMARCB1,nucleus
1398,Q58EY4;Q92922;B4DYQ1;Q05CR1;Q05BW5,SMARCC1,nucleus
1399,A0A024RB22;Q8TAQ2,SMARCC2,nucleus
1400,J3KMX2;B9EGA3;Q92925;J3QWB6,SMARCD2,nucleus
1401,B3KPM8;Q8N5C6,SRBD1,nucleus
1402,A0A024R4Z6;Q08945,SSRP1,nucleus
1403,Q9Y5B9,SUPT16H,nucleus
1404,O00267;B4DZJ7;B4E0Q4;B4DJK4,SUPT5H,nucleus
1405,Q9UK61;A0A087X0F1,TASOR,nucleus
1406,Q15554;U3KQ35;H3BR06,TERF2,nucleus
1407,P11388;A0A4D6UXC9,TOP2A,nucleus
1408,Q02880;Q71UH4;B4DKD0;Q59H80,TOP2B,nucleus
1409,H0Y4W2;F2Z2U4;Q59FH1,TRRAP,mitochondrion
1410,Q6ZU65,UBN2,nucleus
1411,P17480;A8K962;E9PKP7;B4DNQ1;O00164;B4DLB0,UBTF,nucleus
1412,A0A087WVR3;A0A087WTW0;Q96T88;A0A087WWG9,UHRF1,nucleus
1413,H0YJF7;A0A7P0TA65;A0A7P0T952;A0A7P0T9T1;A0A7P0T838;A0A7P0TBE4;A0A7P0TA16;A0A7P0T824;Q99986;A0A7P0T9E5;A0A7P0T925;A0A7P0Z4A4;A0A7P0TB08;A0A7P0T814,VRK1,nucleus
1414,Q01831;X5DRB1;A8K146;D9I4E1,XPC,nucleus
1415,A0A024R0S8;Q59HH7;P18887;F5H8D7;B2RCY5;B4DTD3;B4DEB2,XRCC1,nucleus
1416,Q5VZL5;H7C1I7,ZMYM4,nucleus
1417,A0A087WVZ6;A0A087WV57;A6H8Y8,ZMYND8,nucleus
1418,Q8ND82;Q9UJJ2,ZNF280C,nucleus
1419,J3QSS3;A0A087WXK5;Q9BZC7;H0Y8D6,ABCA2,early_endosome
1420,Q6ULP2;Q53GW0;B8ZZI9;Q3LIF3,AFTPH,early_endosome
1421,Q10567;C9J1E7,AP1B1,early_endosome
1422,A0A140VJE7;B3KXW5;O43747;Q8IY97,AP1G1,early_endosome
1423,O75843;Q86V28;B4E3E1,AP1G2,early_endosome
1424,A0A024R7K8;Q9BXS5;B3KNH5;B4DDG7;K7EJL1;E7ENJ6;B4DN99,AP1M1,early_endosome
1425,A0A2R8YGH5;A0A024QYT6;P61966;H7C1E4,AP1S1,early_endosome
1426,A0A024RBX8;Q549M9;P56377;A0A5F9ZHW1;H0Y673;A0A5F9ZHX2;A6NH01;B4DIM6;Q7Z677,AP1S2,early_endosome
1427,Q53R44;Q96PC3;B8ZZZ1;F8W8K9;G5E966,AP1S3,early_endosome
1428,A0A2R8Y611,AP3D1,early_endosome
1429,O14617;Q6PK82,AP3D1,early_endosome
1430,A0A024R0J5;Q9Y6B7;B2RBF6;B4DTG3;B1ALD0;B3KSJ4,AP4B1,early_endosome
1431,Q9UPM8,AP4E1,early_endosome
1432,Q9Y587;G3V3X7;B7ZB52;G3V4P7;G3V5J6;A0A5F9ZHV3;A0A5F9ZI62;A0A5F9ZH42,AP4S1,early_endosome
1433,Q2TAZ0,ATG2A,cytosol
1434,Q96BY7,ATG2B,early_endosome
1435,A0A024R991;Q8N8Y2,ATP6V0D2,early_endosome
1436,A0A024RA36;Q8NBF6;B8ZZW5;A0A024RA79;H7C0I1;A0A1W2PRP5,AVL9,early_endosome
1437,B4DS79;B4DKH5,B4DKH5[p],early_endosome
1438,P46379;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A1U9X7A6;A0A7P0MQS5;A0A1U9X7A9;A0A0G2JL47,BAG6,early_endosome
1439,Q6QNY0;K7EN58,BLOC1S3,early_endosome
1440,Q9NUP1,BLOC1S4,early_endosome
1441,H3BST1;Q9UL45;B2RDK7;H3BNE3;H3BRA4,BLOC1S6,early_endosome
1442,A0JNW5;A0A0C4DGH6,BLTP3B,early_endosome
1443,P24386;A8K545,CHM,early_endosome
1444,P26374,CHML,early_endosome
1445,A0A0S2Z5H3,CLINT1,early_endosome
1446,P09496;F8WF69;C9J8P9,CLTA,early_endosome
1447,A0A024R7S3,CLTB,early_endosome
1448,A0A087WVQ6;Q00610,CLTC,early_endosome
1449,P53675;A0A087WX41,CLTCL1,early_endosome
1450,O94830;B3KPM6,DDHD2,early_endosome
1451,Q7Z401;H3BTW5;Q05C90,DENND4A,early_endosome
1452,Q5VZ89;B3KXP9;B7Z660;B7Z850,DENND4C,early_endosome
1453,Q9NRI5;A7E2W8;C4P096;C4P098;C4P094;C4P0A4;A0A087WYX6;C4P0B1;C4P093;C4P0B0;C4P0A5;C4P0C4,DISC1,early_endosome
1454,Q68E05,DKFZp686A1765,early_endosome
1455,P23610,F8A1,early_endosome
1456,O14976;Q59HA5;B4DS37,GAK,early_endosome
1457,A0A0S2Z3X8;P31150;B4DHX4;B4DH24,GDI1,early_endosome
1458,Q6IAT1;P50395;B4DLV7;Q5SX87,GDI2,early_endosome
1459,Q7L5D6;A0A024R847,GET4,early_endosome
1460,Q9UJY4,GGA2,early_endosome
1461,H0YC42;A5Y5A3,H0YC42[p],early_endosome
1462,Q9P2D3;B9EK47,HEATR5B,early_endosome
1463,A0A7P0TA78;P42858;A0A7P0TAN5;D3DVR8;A0A7P0Z417,HTT,early_endosome
1464,Q96EF0,MTMR8,early_endosome
1465,Q01968;A0A2X0TVZ9;A0A2R8YG38,OCRL,early_endosome
1466,B2RWP2;Q9UPQ7,PDZRN3,cytosol
1467,L7RRS0;O00443;B4DG55,PIK3C2A,actin_cytoskeleton
1468,Q8IWE5;A0A2R8Y575,PLEKHM2,early_endosome
1469,P29590;Q9BZY1;Q59GQ8;H3BT29,PML,early_endosome
1470,Q1KKQ2;Q15139,PRKD1,early_endosome
1471,O94806;A0A1S5UZ27;B3KNJ2,PRKD3,early_endosome
1472,P43378;Q6IQ43;A0A0A0MR09,PTPN9,early_endosome
1473,P61106;A0A024R845;X6RFL8,RAB14,early_endosome
1474,P20338;A0A024R3U9;Q53GC2,RAB4A,early_endosome
1475,A0A024R0K8;P61018,RAB4B,early_endosome
1476,A0A024RDL6;E9PFK9;Q9UJ41;A8K3R3;Q3HKR1;B3KMF1,RABGEF1,early_endosome
1477,P52306;B3KNU0;B7Z4M5,RAP1GDS1,cytosol
1478,A6NDU8;A0A0C4DGW6,RIMOC1,cytosol
1479,A0A024R206;Q9BV68;K7EIY6;A8K0Q1;U3KQF4;O60372;Q9NPN4,RNF126,early_endosome
1480,B4DQB8;Q68CX2,RUSC1,early_endosome
1481,Q9BVN2;Q9BT86,RUSC1,early_endosome
1482,B4DHI5;Q53GK8;Q13530;Q5H936,SERINC3,early_endosome
1483,A0A7I2V697;A0A7I2V5Z3;O43765;A0A7I2V4T9;A0A7I2V2U2;A0A7I2V588;B4DEA6;K7EMD6,SGTA,early_endosome
1484,Q8WU79;A0A087WV97;X6RCC3,SMAP2,early_endosome
1485,O95721;C9JAF7,SNAP29,early_endosome
1486,Q13596;Q53GY8;Q53HL9;H0YK42,SNX1,early_endosome
1487,O60749;Q53GG3;B3KN57;B3KML1,SNX2,early_endosome
1488,Q9UNH7;A8K885;G3V5X9,SNX6,early_endosome
1489,Q14DD4;Q5T5C0;Q3LIE1;B3KXX0,STXBP5,early_endosome
1490,A0A024R0X0;Q9UMZ2,SYNRG,early_endosome
1491,A0A024R967;B1ALM5;B4E1H4;Q9P0T7;Q6IAJ3;Q6FIF9,TMEM9,early_endosome
1492,P55327,TPD52,early_endosome
1493,Q16890;E9PNK6;E9PPQ1;J3KNE7,TPD52L1,early_endosome
1494,Q6FGS1;O43399;Q53GA0;A0A087WZ51;B4DDV4,TPD52L2,early_endosome
1495,Q99614;Q53HD9;Q53GE7,TTC1,ER
1496,Q8N584;G3V1P2;B7Z3X0,TTC39C,cytosol
1497,P11441;Q5HY81,UBL4A,early_endosome
1498,Q709C8,VPS13C,early_endosome
