,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
134,H0Y4A4;B2RAL8;B4DIF1;A0A024R0F8;A0A6Q8PF02;P81274;A0A6Q8PFD2;A0A6Q8PGU2;A0A6Q8PGW7;Q5T1N9;A0A6Q8PGS6,GPSM2,cytosol,cytosol,cytosol
135,Q96S66;A0A6Q8PEZ7;A0A024R0G0;A0A6Q8PHQ1;A0A6Q8PG30;A0A6Q8PG75;A0A024R095;A0A6Q8PGA4;A0A6Q8PG14;A0A6Q8PFF7,CLCC1,ER,ER,ER
136,B4DKS0;A0A024R0H1;P53985;B2R6A5;Q5T8R5,SLC16A1,plasma_membrane,plasma_membrane,plasma_membrane
137,A0A024R0H2;O15235,MRPS12,mitochondrion,mitochondrion,mitochondrion
138,A0A024R0H6;Q8N7H5;B4DGJ5,PAF1,nucleus,nucleus,nucleus
139,Q9BQA1;A0A024R0H7;H0Y711,WDR77,cytosol,cytosol,cytosol
140,A0A024R0J1;O96013;A8K724;A0A024R0L8;B4DE88,PAK4,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
141,A0A024R0J5;Q9Y6B7;B2RBF6;B4DTG3;B1ALD0;B3KSJ4,AP4B1,early_endosome,early_endosome,early_endosome
142,A0A024R0K4;B4DNR0;Q9NW81;B7ZAJ8;M0QZC4;K7EIV4;B4DFT4,DMAC2,mitochondrion,mitochondrion,mitochondrion
143,A0A024R0K8;P61018,RAB4B,early_endosome,early_endosome,early_endosome
144,A0A024R0L2;Q96F63,CCDC97,nucleolus,unclassified,nucleolus
145,B7Z6N1;A0A024R0L4;P50548,ERF,nucleus,nucleus,nucleus
146,P49840;A0A024R0L5;Q68D16,GSK3A,plasma_membrane,plasma_membrane,plasma_membrane
147,A0A024R0L6;Q15102;M0R389;M0R1K3,PAFAH1B3,cytosol,cytosol,cytosol
148,Q0VAB1;A0A024R0M6;M0R003,TIMM50,mitochondrion,mitochondrion,mitochondrion
149,M0QZ22;A0A024R0N7;Q5PRF9;A0A087WZT0;Q66K25;M0R0X3,SAMD4B,stress_granule,stress_granule,stress_granule
150,A0A024R0N8;Q96DU7,ITPKC,cytosol,cytosol,cytosol
151,A0A499FJK2;A0A024R0P8;P01137,TGFB1,ER,unclassified,ER
152,A0A024R0Q0;Q9H0W8,SMG9,unclassified,unclassified,unclassified
153,A0A024R0Q4;Q8IV08;B4DEL6,PLD3,lysosome,lysosome,lysosome
154,A0A024R0Q5;Q8WUF5;Q6ZNZ8,PPP1R13L,nucleus,cytosol,cytosol
155,A0A024R0Q6;P07992;K7ES46;K7EP14;K7ER89,ERCC1,unclassified,unclassified,unclassified
156,A0A024R0Q7;P53041;B2R6R6;B4DDZ8;B4DLP6;H0YDU8;Q53FR0;A8MU39,PPP5C,cytosol,cytosol,cytosol
157,A0A024R0R4;Q9UBE0;B3KNJ4;A0A590UK93;A0A590UKC5;M0QX65,SAE1,cytosol,cytosol,cytosol
158,A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61,SYMPK,nucleus,nucleus,nucleus
159,A0A024R0R7;Q9H9S5,FKRP,Golgi,Golgi,Golgi
160,A0A024R0R9;P54920;M0R2M1,NAPA,Golgi,early_endosome,early_endosome
161,B4DLA1;A0A024R0S6;Q9NZN4;B3KUH4;Q8NCJ3,EHD2,plasma_membrane,plasma_membrane,plasma_membrane
162,A0A024R0S8;Q59HH7;P18887;F5H8D7;B2RCY5;B4DTD3;B4DEB2,XRCC1,nucleus,nucleus,nucleus
163,A0A024R0T1;Q6UWP2;A0A087WZN3,DHRS11,cytosol,cytosol,cytosol
164,A0A024R0T2;Q7L8J4;Q96MW4;B4DSF1,SH3BP5L,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
165,A0A024R0V3;Q6P597;K7EL76;K7ENJ3,KLC3,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
166,A0A0S2Z4N8;A0A024R0V4;P50552,VASP,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
167,A0A024R0W3;Q96QD8;A8K6H9,SLC38A2,plasma_membrane,plasma_membrane,plasma_membrane
168,A0A024R0X0;Q9UMZ2,SYNRG,early_endosome,early_endosome,early_endosome
169,A0A024R0X8;Q15649,ZNHIT3,unclassified,nucleus,nucleus
170,B3KU13;A0A0S2Z4G1;A0A024R0Y4;O75478,TADA2A,nucleus,nucleus,nucleus
