,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
848,A0A024R9R3;Q9P253,VPS18,lysosome,lysosome,lysosome
849,A0A024R9R5;H3BSS6;Q9H2Y7;A0A0C4DGM5,ZNF106,nucleolus,nucleolus,nucleolus
850,A0A024R9R7;Q9ULG1;A8K2V6,INO80,nucleus,nucleus,nucleus
851,A0A024R9S2;Q6DHV7;B3KX36,ADAL,cytosol,cytosol,cytosol
852,Q9P270;A0A024R9T6,SLAIN2,nucleus,nucleus,nucleus
853,Q9NX40;A0A024R9U3;D6RG39;D6RIT9;D6RBN5;D6RDK6;D6RBC5;D6RDI5;D6RA54;D6RC55;D6R918,OCIAD1,mitochondrion,mitochondrion,mitochondrion
854,A0A024R9U9;Q969E8,TSR2,unclassified,cytosol,cytosol
855,A0A024R9W0;O43766;A0A1W2PPM2;D6RCP8;A0A1X7SBR7;A0A1W2PRE7;A0A1W2PQE9,LIAS,mitochondrion,mitochondrion,mitochondrion
856,Q5JZB8;A0A024R9Y9;A0A024R9W1;Q9BPZ2;Q99865;Q5JZB7;A0A087X074,SPIN2B,nucleus,nucleus,nucleus
857,A0A024R9W5;Q7Z6Z7;A0A024R9U8;A0A024R9Y3,HUWE1,cytosol,cytosol,cytosol
858,A0A024R9W7;P57088;A6QKW0;D6RAA6,TMEM33,ER,ER,ER
859,A0A024R9X5;Q8TDQ7,GNPDA2,cytosol,cytosol,cytosol
860,A0A024R9Y0;A0A7P0T936,MAPT,unclassified,unclassified,unclassified
861,A0A3B3IT55;A0A0G2JNT7;A0A024R9Y2;A0A0G2JNB1;A0A0G2JQF4;Q7Z3B3;A0A1W2PRB5;A0A0J9YVS1;A0A0G2JQF5;A0A1W2PPV8;I3L233,KANSL1,nucleus,nucleus,nucleus
862,A0A024R9Y5;A0A2X0SFE1;P98174;B4DS99,FGD1,unclassified,unclassified,unclassified
863,A0A024R9Y6;Q9NVN8;Q05DU1;A0A6I8PS19;A0A6I8PL80,GNL3L,unclassified,unclassified,unclassified
864,A0A024R9Y7;Q9UNF1;Q5H909;B4DX55;Q5H907,MAGED2,unclassified,unclassified,unclassified
865,A0A024R9Z0;O00483,NDUFA4,mitochondrion,mitochondrion,mitochondrion
866,A0A024R9Z6;Q8IV38;B3KN56;B3KM88;G3V0G5,ANKMY2,cytosol,cytosol,cytosol
867,A0A024R9Z8;P35869;A0A1B0GVI7;A0A2R8Y7G1,AHR,cytosol,cytosol,cytosol
868,A0A024R9Z9;B4DGG2;Q9Y5W8;A0A024RA48;Q86XC4;A0A087WUZ7;B3KN60,SNX13,ER,ER,ER
869,A0A024RA19;A0A024RA17;B4DSB3;B3KTM0;I3L170,MAPT,unclassified,unclassified,unclassified
870,A0A024RA24;Q9NXC5;B4DGE7,MIOS,lysosome,stress_granule,stress_granule
871,A0A024RA25;Q9NZW5;C9J4Q3,PALS2,plasma_membrane,plasma_membrane,plasma_membrane
872,E9PDL4;A0A024RA29;Q05084;A0A3B3IST8,ICA1,unclassified,unclassified,unclassified
873,Q9NS00;A0A024RA32,C1GALT1,Golgi,Golgi,Golgi
874,A0A024RA36;Q8NBF6;B8ZZW5;A0A024RA79;H7C0I1;A0A1W2PRP5,AVL9,early_endosome,early_endosome,early_endosome
875,A0A087WXP9;A0A024RA38;Q8IY47,KBTBD2,cytosol,cytosol,cytosol
876,A0A024RA42;Q9Y6E2;E7ETZ4;B3KM68;B7Z4K8;B5MCH7;Q75MG1;B5MCE7;E9PFD4,BZW2,stress_granule,stress_granule,stress_granule
877,A0A024RA49;Q9NQW6;A8K5D9,ANLN,plasma_membrane,plasma_membrane,plasma_membrane
878,A0A024RA51;Q96GN5;A8K8X5,CDCA7L,nucleus,nucleus,nucleus
879,Q53GF5;A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5,PSMA2,proteasome,proteasome,proteasome
880,A0A024RA58;O60443;C9JSR4;A4FTY0;A4FVA8;A8K410,GSDME,cytosol,cytosol,cytosol
881,A0A024RA60;Q9GZY4;B3KUH1;C9JA07,COA1,mitochondrion,mitochondrion,mitochondrion
882,A0A024RA66;A0A2R8Y7W5;A0A2R8YF61,CDK13,translation,translation,translation
883,P31937;A0A024RA75;H7BZL2,HIBADH,mitochondrion,mitochondrion,mitochondrion
884,A0A024RA77;Q9BSE4;C9JV48;C9JDD7;C9J4Q7,HERPUD2,ER,ER,ER
885,Q14004;A0A024RA85;A0A2R8Y4Z0,CDK13,nucleolus,translation,translation
886,C9JKL2;A0A024RA89;O95772;C9JPX5,STARD3NL,lysosome,lysosome,lysosome
887,A0A024RA92;P10071,GLI3,nucleus,nucleus,nucleus
888,A0A024RA95;Q5TGY1;A0A024RAA3;A0A075B6H3;A0A024RAD2;Q6ZSC6,TMCO4,cytosol,cytosol,cytosol
889,A0A024RAA5;P60953;B4E1U9;B7ZAY4;B4DMH5;A0A590UJK8;Q5JYX0;Q9UJM1,CDC42,actin_cytoskeleton,plasma_membrane,plasma_membrane
890,A0A024RAB1;Q8TDY4;B4DRP2,ASAP3,unclassified,unclassified,unclassified
891,B2R6Q2;A0A024RAB4;P05186;B7Z1D1,ALPL,unclassified,unclassified,unclassified
892,A0A024RAC0;Q86V48,LUZP1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
893,Q9P258;A0A024RAC5;A5PLK7,RCC2,unclassified,unclassified,unclassified
894,A0A024RAC6;Q14241,ELOA,nucleolus,nucleolus,nucleolus
895,P30038;A0A024RAC7,ALDH4A1,mitochondrion,mitochondrion,mitochondrion
896,A0A0C4DGS1;A0A024RAD5;P39656,DDOST,ER,ER,ER
897,A0A024RAE1;Q9UKD2,MRTO4,nucleolus,nucleus,nucleus
898,B3KUD0;A0A024RAE5;Q53S58;B4DR32,TMEM177,mitochondrion,mitochondrion,mitochondrion
899,A0A024RAF1;O00499;A0A024RAI5;A0A024RAJ3;A0A024RAF0;A0A024RAF6;B7Z6Y2;A0A024RAI6;A0A024RAG8;A0A024RAI4;A0A024RAJ2;A0A024RAG9;Q9BTH3;A0A024RAE9;B7Z2Z2;Q8WWH9,BIN1,plasma_membrane,plasma_membrane,plasma_membrane
900,A0A024RAG1;Q6DCA0;A0A7P0T8F5;A0A7P0T9C2,AMMECR1L,unclassified,unclassified,unclassified
901,A0A024RAG3;P11234;C9J6B1;C9JQB3;B4E364,RALB,plasma_membrane,plasma_membrane,plasma_membrane
902,A0A024RAH0;Q9Y2U5,MAP3K2,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
903,A0A024RAI1;P61158;B4DXW1;B4DTI0,ACTR3,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
904,A0A024RAJ1;Q92552;G5EA06;D6RH20;B4DT94;Q6PKB3,MRPS27,mitochondrion,mitochondrion,mitochondrion
905,A0A024RAJ6;P07686;Q5URX0;H0YA83;H0Y9B6,HEXB,lysosome,lysosome,lysosome
906,A0A024RAJ8;Q13576;Q59HA3;D6R939,IQGAP2,plasma_membrane,plasma_membrane,plasma_membrane
907,A0A024RAJ9;P15848;A0A2U3U034;A8K4A0,ARSB,lysosome,ER,ER
908,A0A024RAK1;Q969S9;A0A024RAJ7;A0A6M4C975,GFM2,mitochondrion,mitochondrion,mitochondrion
909,A0A024RAL3;Q7Z3T8,ZFYVE16,early_endosome,early_endosome,early_endosome
910,A0A024RAL5;Q8N567,ZCCHC9,nucleolus,nucleolus,nucleolus
911,A0A024RAL9;Q8WUF8;E9PBM2;B4DHJ0,FAM172A,unclassified,unclassified,unclassified
912,A0A024RAM0;Q92973;A0A7P0TBF0;A0A7P0Z4D3;A0A7P0T9C0;A0A7P0T944,TNPO1,cytosol,cytosol,cytosol
913,D6R9U7;A0A024RAM1;O15318;A0A7I2R591;D6RIT0;D6RJH6,POLR3G,cytosol,cytosol,cytosol
914,P35754;A0A024RAM2;D3DQK5,GLRX,cytosol,cytosol,cytosol
915,A0A024RAM4;P46821;A2BDK6;Q5H9P1,MAP1B,cytosol,nucleus,nucleus
916,A0A024RAM6;Q8WV60;B3KPU6;F6S289;D6RGK0,PTCD2,mitochondrion,mitochondrion,mitochondrion
917,A0A7P0Z481;A8KA27;A0A024RAP2;P04035,HMGCR,ER,ER,ER
918,A0A024RAP4;Q9UBT6;Q59G18,POLK,unclassified,unclassified,unclassified
919,A0A024RAP7;P25116;B4DLS3,F2R,plasma_membrane,plasma_membrane,plasma_membrane
920,A0A024RAQ1;P16989,YBX3,stress_granule,stress_granule,stress_granule
921,A0A024RAQ8;Q13426;A0A024RAL0;A0A024RAP0,XRCC4,cytosol,cytosol,cytosol
922,A0A024RAQ9;Q59FG9;P13611;A0A024RAL1;Q6MZK8;E9PF17;A0A024RAP3;D6RGZ6,VCAN,unclassified,unclassified,unclassified
923,Q9NZ08;A0A024RAR8;A8K6H1;A0A0A7E6I2;A0A0A7E7X3;A0A0A7E6D8;A0A0A7E6P9;A0A0A7E7W5;A0A0A7E6D4;A0A0A7E6P0;A0A0A7E7S5;A0A0A7E7T3;A0A0A7E6P4;A0A0A7E6J5;A0A0A7E7W9;A0A075BSP6;A0A075BW43;A0A075BV59,ERAP1,ER,ER,ER
924,A3KPC7;A0A024RAS2;B2R5B3;A4FTV9;A0A0U1RR32;A0A0U1RRH7;Q99878;Q96KK5;Q9BTM1;P20671;P0C0S8;H0YFX9;B4E0B3,H2AC14,cytosol,cytosol,cytosol
925,A0A024RAS3;Q9H0S4;Q9H4E3,DDX47,nucleolus,nucleus,nucleus
926,A0A024RAS8;Q9NRV9;F5GWX2,HEBP1,mitochondrion,mitochondrion,mitochondrion
927,A0A024RAV0;P54687,BCAT1,cytosol,cytosol,cytosol
928,A0A024RAV2;P46063,RECQL,nucleus,nucleus,nucleus
929,A0A024RAV5;A0A3G1LBH1;Q14015;Q14014,KRAS,plasma_membrane,plasma_membrane,plasma_membrane
930,A0A024RAW0;Q13503;F5H872,MED21,nucleus,nucleus,nucleus
931,A0A024RAW6;Q7Z6B0;A0A0A0MTP0;A0A0A0MTK0;Q05D28,CCDC91,cytosol,cytosol,cytosol
932,A0A024RAW7;Q96K12;Q9NUX8,FAR2,peroxisome,peroxisome,peroxisome
933,B4DMD3;B4DY34;A0A024RAW9;Q9Y2W2,WBP11,nucleus,nucleus,nucleus
934,A0A024RAX4;F8VWW7;Q8NCJ5;Q8N2P1,SPRYD3,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
935,F8WCW3;H3BTP4;F8VV11;C9JTU8;B4DL84;E9PFW9;Q9Y602;B3KV52;B2RCT5;A0A024RAX7;Q9Y600,CSAD,cytosol,cytosol,cytosol
936,Q6VMQ6;A0A024RAY1;B3KQF8,ATF7IP,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
937,A0A024RAY2;P05783;B2RA03;F8VZY9;I6L965,KRT18,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
938,A0A024RAZ1;Q9P1Z2;B4DG60;B3KS47,CALCOCO1,cytosol,cytosol,cytosol
939,A0A024RAZ6;P31274;Q8N561,HOXC9,nucleus,nucleus,nucleus
940,P09651;A0A024RAZ7;F8W6I7;A0A7I2V2L6;F8VZ49;A0A024QZ98;Q32P51;F8VTQ5;B4E0B5,HNRNPA1,nucleus,nucleus,nucleus
941,A0A024RAZ8;Q53HV7;D6RI04,SMUG1,cytosol,cytosol,cytosol
942,A0A024RB01;P08648;A8K6A5;B2R627,ITGA5,plasma_membrane,plasma_membrane,plasma_membrane
943,F8VNT9;F8VV56;F8W022;F8VWK8;W6A4U0;A0A024RB05;P08962,CD63,plasma_membrane,plasma_membrane,plasma_membrane
944,P35711;T2CYZ2;A0A024RB06;F5H0I3;T2CZM2;I3L0A5;B7Z5Z3,SOX5,nucleus,nucleus,nucleus
945,A0A024RB08;A0A087WU02;Q9HC06;Q96RQ1;H0YI50;F8VPA6,ERGIC2,ERGIC,Golgi,Golgi
946,A0A024RB09;P61020;Q6FI54,RAB5B,early_endosome,early_endosome,early_endosome
947,A8K8G8;A0A024RB12;Q8NHQ8;H0YG85,RASSF8,actin_cytoskeleton,plasma_membrane,plasma_membrane
948,A0A024RB14;P62854;Q5JNZ5,RPS26P11,stress_granule,stress_granule,stress_granule
949,A0A024RB16,ESYT1,ER,ER,ER
950,A0A024RB17;Q9BSJ8;B3KMV5;B3KY56,ESYT1,ER,ER,ER
951,A0A024RB22;Q8TAQ2,SMARCC2,nucleus,nucleus,nucleus
952,A0A024RB23;P23743;G3V4E1;H0YJH4,DGKA,unclassified,unclassified,unclassified
953,A0A024RB31;P14649;F8W1I5,MYL6B,cytosol,cytosol,cytosol
954,A0A024RB32;Q15185;A0A087WYT3;B3KUY2,PTGES3,cytosol,cytosol,cytosol
955,A0A7I2V3R8;A0A024RB53;A0A7I2V3W0;Q6IPF2;Q0VAC0;A0A7I2YQX9;A0A2R8Y4L2,HNRNPA1,nucleus,nucleus,nucleus
956,A0A024RB62;Q9UBP6,METTL1,cytosol,cytosol,cytosol
957,A8K5A7;A0A024RB64;Q6Y2X3,DNAJC14,ER,ER,ER
958,A0A024RB72;P61923;Q53FU3;F8VVA7;F8W651;F8VXB1;F8W156;F8VXR1,COPZ1,ERGIC,ERGIC,ERGIC
959,A0A024RB76;Q9BRT6,LLPH,nucleolus,nucleolus,nucleolus
960,G3V5T9;A0A024RB77;P24941,CDK2,unclassified,unclassified,unclassified
961,A0A024RB85;Q9UQ80;A8K6Y1;Q6PIN5;F8VR77,PA2G4,translation,translation,translation
962,P61224;A0A024RB87;E7ESV4;F5GX62;A6NIZ1;Q9BXV4;B7ZB78;F5H004;F5H823;F5H6R7;B7ZAY2,RAP1B,plasma_membrane,plasma_membrane,plasma_membrane
963,A0A024RB89;Q9BQ15;C9JT95;C9JMP5,NABP2,nucleus,nucleus,nucleus
964,A0A024RBA9;Q9UL25,RAB21,early_endosome,early_endosome,early_endosome
965,A0A024RBB5;Q16527;F8VQR7;F8VW96,CSRP2,actin_cytoskeleton,plasma_membrane,plasma_membrane
966,A0A024RBB6;P11802;Q6LC83;F8VYH9;F8VTV8;F8VWX7;F8VZ51,CDK4,cytosol,cytosol,cytosol
967,A0A024RBB8;Q9BZF1;Q5HYM3;F8VQX7;Q641R2;F8VUA7,OSBPL8,ER,ER,ER
968,A0A024RBB9;Q9Y2U8,LEMD3,ER,ER,ER
969,A8K6V6;A0A024RBC5;P15586;B4DTT0;Q7Z3X3;H7C3P4;F6S8M0;B4E284;F5H4C6;H0YFA9,GNS,lysosome,lysosome,lysosome
970,A0A024RBC7;P20020;E7ERY9;Q59H63,ATP2B1,plasma_membrane,plasma_membrane,plasma_membrane
971,A0A024RBD0;Q9NZJ9,NUDT4,cytosol,cytosol,cytosol
972,Q9NZN8;A0A024RBD8;B2RDX7;F8VV52;F8VUB4;F8W145;F8VRS8,CNOT2,stress_granule,stress_granule,stress_granule
973,A0A024RBE5;Q8NHV4;Q05CT8,NEDD1,unclassified,unclassified,unclassified
974,A0A024RBE6;F8VV59;B7Z9C2;F8W118;H0YH88;F8VRJ2,NAP1L1,cytosol,cytosol,cytosol
975,P42167;A0A024RBE7,TMPO,ER,ER,ER
976,Q8NCF7;A0A024RBE8;B2RE88;Q53HC3;F8VVM2,SLC25A3,mitochondrion,mitochondrion,mitochondrion
977,A0A024RBE9;P21579;J3KQA0,SYT1,recycling_endosome,recycling_endosome,recycling_endosome
978,A0A024RBF4;Q86XJ1;G3V1N3;B3KTH9,GAS2L3,unclassified,unclassified,unclassified
979,S4R360;J3KPP0;A0A024RBG3;S4R2Z7;Q9Y6G3,MRPL42,mitochondrion,mitochondrion,mitochondrion
980,F8VSL3;A0A024RBG7;P25208,NFYB,nucleus,nucleus,nucleus
981,A0A024RBG9;B7WPL0;Q9NVN3,RIC8B,cytosol,cytosol,cytosol
982,A0A024RBH0;Q00537,CDK17,unclassified,unclassified,unclassified
983,A0A024RBH2;Q07065;Q8TB01;Q6NWZ1;B3KVX6,CKAP4,ER,ER,ER
984,A0A024RBH4;Q8N4U5;F8VRQ3;G3V1Z2,TCP11L2,proteasome,proteasome,proteasome
985,Q53FW9;A0A024RBH5;Q13610;Q9BV37;B4DJV5,PWP1,nucleolus,nucleus,nucleus
986,A0A024RBI5;Q59EA2;Q9ULV4;Q53G58;B4DMH3;B7Z9V0;H0YHL7,CORO1C,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
987,F5H0U5;A0A024RBI7;Q9NZD2,GLTP,cytosol,cytosol,cytosol
988,A8K4S8;A0A024RBJ1;Q8WYA0,IFT81,unclassified,unclassified,unclassified
989,A0A024RBJ2;Q9H3F6,KCTD10,plasma_membrane,actin_cytoskeleton,actin_cytoskeleton
990,A0A024RBJ3;Q9UJX3;B3KMP2;Q4KMX6;A8KAQ7;A5D8X2;Q2M2R1,ANAPC7,unclassified,nucleus,nucleus
991,Q8TBK5;Q8N5Z7;A0A024RBK3;Q9HBB3;Q02878;B2R4K7,RPL6,translation,translation,translation
992,A0A024RBK4;O14545;F8VNX8,TRAFD1,unclassified,cytosol,cytosol
993,Q16881;A0A087WSY9;A0A140VKC9;A0A024RBK9;A0A087WSW9;B7Z2S5;F8W809;Q6ZR44;A0A182DWI3;B2R5P6;E9PIR7;E2QRB9,TXNRD1,cytosol,cytosol,cytosol
994,A0A024RBL2;Q96GA7;F8VYZ3,SDSL,cytosol,cytosol,cytosol
995,A0A024RBL8;A0A024RBR2;O94952;H0YIE9;Q4G104;Q8IUQ5;B3KQC8,FBXO21,unclassified,unclassified,unclassified
996,A0A024RBM3;Q70CQ3;B3KUS5,USP30,mitochondrion,mitochondrion,mitochondrion
997,B2R6A0;A0A024RBN1;Q9Y478,PRKAB1,cytosol,cytosol,cytosol
998,A0A024RBP0;Q8N5U6;B3KUR9;B3KSN5;B2RDI7;B4DWN2,RNF10,translation,unclassified,translation
999,A0A024RBP2;P36873;Q9UPN1;F8VYE8;F8W0W8;F8VR82,PPP1CC,actin_cytoskeleton,plasma_membrane,plasma_membrane
1000,A0A024RBP6;A0A024RBQ3;A0A024RBQ0;Q96RR4;A0A024RBP8;B4DV02,CAMKK2,cytosol,cytosol,cytosol
1001,A0A024RBQ4,TBX3,nucleus,nucleus,nucleus
1002,A0A024RBR1;P30622;F5H0N7;Q59GJ4;F5H6A0,CLIP1,actin_cytoskeleton,cytosol,cytosol
1003,O43583;A0A024RBR3;F8VVL1,DENR,unclassified,unclassified,unclassified
1004,A0A024RBS0;Q8NHQ9;F5H5U2;A0A384N652;B4DVE4,DDX55,nucleolus,nucleolus,nucleolus
1005,P05388;A8K4Z4;A0A024RBS2;Q53HW2;Q53HK9;F8VWS0;B4E3D5;F8VU65;F8VW21;F8VPE8;Q8NHW5;G3V210;F8VZS0,RPLP0,translation,translation,translation
1006,B7ZKQ9;A0A024RBS4;A0A7P0T9I2;B3KW46;B4DZ71;A0A0S2Z3N2;B4E3I1;Q59FM4;Q8WTV0;F5H4X0;A0A7P0T913;A0A7P0Z4E3;A0A7P0T9B3;A0A0S2Z3I2,SCARB1,plasma_membrane,plasma_membrane,plasma_membrane
1007,A0A024RBS8,A0A024RBS8[p],nucleus,nucleus,nucleus
1008,Q9H9H4;A0A024RBU0;F5H4M0,VPS37B,plasma_membrane,plasma_membrane,plasma_membrane
1009,A0A024RBU2;Q16560,SNRNP35,nucleolus,nucleus,nucleus
1010,O96006;A0A024RBU4;C9JXP4,ZBED1,nucleus,nucleus,nucleus
1011,A0A024RBV2;Q86V21;A0A5A4UB59,AACS,cytosol,cytosol,cytosol
1012,A0A024RBV4;O15344;A8K5A0;B4DLX8;C9J453;B7Z5K6,MID1,unclassified,unclassified,unclassified
1013,P51151;A0A024RBV5,RAB9A,early_endosome,early_endosome,early_endosome
1014,Q59F53;A0A024RBV9;O60907,TBL1X,unclassified,unclassified,unclassified
1015,A0A024RBW1;Q8NB91;C9J5X9,FANCB,cytosol,cytosol,cytosol
1016,Q9NWZ8;A0A024RBX2,GEMIN8,stress_granule,stress_granule,stress_granule
1017,A0A024RBX6;O00625,PIR,cytosol,cytosol,cytosol
1018,A0A024RBX8;Q549M9;P56377;A0A5F9ZHW1;H0Y673;A0A5F9ZHX2;A6NH01;B4DIM6;Q7Z677,AP1S2,early_endosome,early_endosome,early_endosome
1019,A0A024RBX9;P08559;Q53GE3;A5YPB6,PDHA1,mitochondrion,mitochondrion,mitochondrion
1020,A0A024RBY9;P53701,HCCS,mitochondrion,mitochondrion,mitochondrion
1021,A0A024RC00;Q9NRF8,CTPS2,mitochondrion,cytosol,cytosol
1022,A0A024RC06;Q13496;A8K6P5;B7Z499;B7Z8W1,MTM1,plasma_membrane,plasma_membrane,plasma_membrane
1023,A0A024RC16;Q8TCZ2;A0A0U1RQT8;H0Y4H3,CD99L2,plasma_membrane,plasma_membrane,plasma_membrane
1024,Q5FWF5;A0A024RC19,ESCO1,nucleus,nucleus,nucleus
1025,A0A024RC24;A0A3B3ITH3;Q9P2X3,IMPACT,cytosol,cytosol,cytosol
1026,A0A024RC29;Q14574;A8K6T3,DSC3,trans-Golgi,plasma_membrane,plasma_membrane
1027,A0A024RC31,TRAPPC8,trans-Golgi,trans-Golgi,trans-Golgi
1028,Q15555;A0A024RC33,MAPRE2,unclassified,unclassified,unclassified
1029,A0A024RC34;I6L8A6;Q99708;F6Q6H0,RBBP8,nucleus,nucleus,nucleus
1030,A0A024RC37;Q96P16;A0A0C4DGQ6,RPRD1A,unclassified,unclassified,unclassified
1031,Q4VAX0;Q4VAX2;A8K0E5;A0A024RC40;Q15532;Q6FGL9;B4DLD3,SS18,cytosol,unclassified,cytosol
1032,A0A024RC42;P19022;C9J126;C9JMH2;A0A6Q8PF58,CDH2,plasma_membrane,plasma_membrane,plasma_membrane
1033,A0A024RC47;P17028,ZNF24,nucleus,nucleus,nucleus
1034,A0A024RC48;Q10472;Q05BM8;K7EJV8,GALNT1,Golgi,Golgi,Golgi
1035,A0A024RC55;Q08431;A0A024RC59;B4E396;B3KTQ2;H0YKS8,MFGE8,ER,ER,ER
1036,A0A024RC65;P46940;A4QPB0;A0A0J9YXZ5;H0YLE8;Q6P1N4,IQGAP1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
1037,A0A024RC67;O43663,PRC1,unclassified,nucleus,nucleus
1038,A0A024RC68;Q6ZNW5;A0A286YET3,GDPGP1,cytosol,cytosol,cytosol
1039,A0A024RC72;A6NED2;G3V2I3,RCCD1,cytosol,cytosol,cytosol
1040,Q6IAM7;A0A024RC78;P67812;H0YNG3;Q7Z4Z6;H0YNX5;H0YKT4,SEC11A,ER,ER,ER
1041,A0A024RC95;P47895;H0Y2X5;B4DYU3;Q7Z3A2,ALDH1A3,cytosol,cytosol,cytosol
1042,A0A024RC97;Q9BVG9;A0A0J9YWQ2,PTDSS2,ER,ER,ER
1043,E9PJ24;B7ZM65;F8WEF5;B7ZM66;A0A0J9YYB5;A0A0J9YWD5;A0A024RCA1;Q9P1Y6;A0A0J9YX88,PHRF1,nucleolus,nucleus,nucleus
1044,A0A024RCA7;P05387,RPLP2,translation,translation,translation
1045,A0A024RCB2;Q16540;B2R9J4;A8MVT4;A8MYK1;H7C2P7,MRPL23,mitochondrion,mitochondrion,mitochondrion
1046,K4DIA7;E9PMR4;A0A6M5CII8;A0A6M5CH24;A0A6M5CDG2;A0A024RCB3;P48509;Q53FU5,CD151,early_endosome,plasma_membrane,plasma_membrane
1047,A0A024RCC6;A0A0S2Z568;A0A024RCD5;Q9UHJ9;E9PRZ2;H0YCQ4;H0YDJ5;H0YDQ4;E9PQ19,FRAG1,Golgi,Golgi,Golgi
1048,Q99733;B7ZB83;A0A024RCC9;B7ZAC7;B7ZAK9;C9JZI7;C9J6D1;A8MXH2;E9PKT8;E9PNJ7;E9PS34,NAP1L4,unclassified,cytosol,cytosol
1049,A0A0G2JLR5;A0A0G2JMW4;A0A024RCE4;Q02833;H0YEI0,RASSF7,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
1050,A0A024RCF5;Q96GJ1;B2RE31;A0A024RCG1,TRMT2B,mitochondrion,mitochondrion,mitochondrion
1051,A0A024RCF9;Q9UH62;A8K5B0,ARMCX3,mitochondrion,mitochondrion,mitochondrion
1052,A0A024RCG3;P49589;A8MVQ3;A8K067,CARS1,cytosol,cytosol,cytosol
1053,A0A024RCI2;A8K187;O43309,ZSCAN12,nucleus,nucleus,nucleus
1054,A0A1U9X8D3;A0A1U9X8C7;A0A0G2JHC2;A0A024RCJ8;Q6NYC8;A0A1U9X8D1;A0A1U9X8C1,PPP1R18,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
1055,A0A024RCK7;Q15776;Q59HG5,ZKSCAN8,nucleus,nucleus,nucleus
1056,A0A024RCM2;Q99676;Q6ZND3,ZNF184,nucleus,nucleus,nucleus
1057,Q13838;A0A024RCM3;Q5STU3;A0A0G2JJZ9;A0A140T9X3;F6TRA5;A0A0A0MT12;F6S4E6;Q59G92,DDX39B,nucleus,nucleus,nucleus
1058,A0A1U9X9C8;A0A1U9X9C4;A0A1U9X9C1;A0A024RCN6;P26640;A0A1U9X9D5;A0A1U9X9C7;A0A1U9X9A3;A0A1U9X9A1;A0A140T936,VARS1,unclassified,cytosol,cytosol
1059,A0A024RCP3;Q12899;A0A1U9X8Q1;A2AE48,TRIM26,unclassified,unclassified,unclassified
1060,A0A024RCQ4;Q99942;A0A140TA09;B4DJS6,RNF5,ER,ER,ER
1061,A0A024RCQ6;Q9UIM3;A0A1U9X7P5;A0A0F7G8H5,FKBPL,cytosol,cytosol,cytosol
1062,A0A1U9X8D2;A0A024RCQ8;Q9UMR5;A0A0G2JH76;A0A140T8X7;A0A0G2JHB6,PPT2,lysosome,lysosome,lysosome
1063,B4DYK6;A0A1U9X7R2;A0A024RCR2;P36915;Q6P458;B4DNS8;B7ZAS6;B4DWZ0;A0A140T8Y2;Q96QB8,GNL1,cytosol,cytosol,cytosol
1064,A0A024RCR3;P40425;Q7KZE5;A0A1U9X8A1;A0A1U9X8A2,PBX2,nucleus,nucleus,nucleus
1065,P25440;A0A0G2JK44;A0A024RCR5;A0A140T9E9;H0Y6K2;A0A1U9X7A8;A0A1U9X7B4;A0A1U9X7B3;A0A1U9X7B8;A0A140T9V2;U3KQA6;A0A0G2JHL0;A0A140T9F7,BRD2,nucleus,nucleus,nucleus
1066,P46379;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A1U9X7A6;A0A7P0MQS5;A0A1U9X7A9;A0A0G2JL47,BAG6,early_endosome,early_endosome,early_endosome
1067,B2R7M0;A8K822;A0A1U9X7L0;A0A024RCS3;B4E1C1;Q9UER7;Q53F85;Q59FG7,DAXX,unclassified,unclassified,unclassified
1068,A0A1U9X7Y0;A0A024RCS7;Q9BW19;A0A1U9X7X5;B4E063;B4DMA8,KIFC1,nucleolus,nucleolus,nucleolus
1069,A0A024RCV5;Q99943;Q9HBM8;Q71VH6;B4DRH1;B3KPH3,AGPAT1,ER,ER,ER
1070,Q9H6K1;A0A024RCW2;Q5TH58,ILRUN,cytosol,cytosol,cytosol
1071,A0A1U9X7N5;A0A024RCW8;O77932,DXO,unclassified,unclassified,unclassified
1072,A0A024RD08;A0A024RCX4;Q9NZJ7;A4FVA6;Q9Y374,MTCH1,mitochondrion,mitochondrion,mitochondrion
1073,A0A024RCX8;Q9Y3C6,PPIL1,nucleus,nucleus,nucleus
1074,A0A024RCY0;Q6UWU4,C6orf89,ER,ER,ER
1075,A0A024RCY1;Q4VXZ2;Q8N1B4;B4DS44;A0A1U9X8S4;A0A024RCT2;B3KMF7;B4DTZ4;B4E225,VPS52,unclassified,unclassified,unclassified
